ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)	Disease comment	Subunits comment	Complex comment	SWISSPROT organism
2579	Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)	Human	None	None	O15392;Q96GD4;Q9NQS7	332;9212;3619	MI:0096- pull down;MI:0416- fluorescence microscopy	GO:0000278;GO:0051225;GO:0007098;GO:0006468;GO:0006470;GO:0046777;GO:0000775	mitotic cell cycle;spindle assembly;centrosome cycle;protein phosphorylation;protein dephosphorylation;protein autophosphorylation;chromosome, centromeric region	10.03.01.01;10.03.05.01;14.07.03;70.10.04	mitotic cell cycle;spindle pole body/centrosome and microtubule cycle;modification by phosphorylation, dephosphorylation, autophosphorylation;centromere / kinetochore	12925766	Baculoviral IAP repeat-containing protein 5;Aurora kinase B;Inner centromere protein	BIRC5;AURKB;INCENP	API4, IAP4;AIK2, AIM1, AIRK2, ARK2 STK1, STK12, STK5;	None	None	All three proteins showed very similar changes in cell cycle progression, low in G1/S, increased during G2 and M. The studies revealed an evolutionarily conserved mechanism for Aurora B activation by INCENP binding and phosphorylation.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2580	Survivin homodimer complex	Human	None	None	O15392	332	MI:0114- x-ray crystallography	GO:0000279;GO:0007067;GO:0051225;GO:0007098;GO:0043066;GO:0000226;GO:0015630	M phase;mitotic nuclear division;spindle assembly;centrosome cycle;negative regulation of apoptotic process;microtubule cytoskeleton organization;microtubule cytoskeleton	10.03.01.01.11;10.03.05.01;40.10.02.01;42.04.05;70.04.05	M phase;spindle pole body/centrosome and microtubule cycle;anti-apoptosis;microtubule cytoskeleton;microtubule cytoskeleton	10876248	Baculoviral IAP repeat-containing protein 5	BIRC5	API4, IAP4	None	None	Survivin temporally and spatially localizes to microtubule organizing centers (MTOC) during mitosis (PMID:9859993).	Homo sapiens (Human)
2581	RasGAP-AURKA-survivin complex	Human	None	HeLa cells	O14965;O15392;P20936	6790;332;5921	MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0000278;GO:0051726;GO:0007186	mitotic cell cycle;regulation of cell cycle;G-protein coupled receptor signaling pathway	10.03.01.01;10.03.01;30.05.02.24	mitotic cell cycle;mitotic cell cycle and cell cycle control;G-protein coupled receptor signalling pathway	11976319	Aurora kinase A;Baculoviral IAP repeat-containing protein 5;Ras GTPase-activating protein 1	AURKA;BIRC5;RASA1	AIK, AIRK1, ARK1, AURA, AYK1, BTAK, IAK1, STK15, STK6;API4, IAP4;GAP, RASA	None	None	The authors define this ternary complex by several protein-protein interactions. RasGAP binds to the kinase domain of Aurora and this interaction inhibits the kinase activity of AURKA and AURKB.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2582	Chromosomal passenger complex CPC (CDCA8, AURKB, BIRC5)	Human	None	None	O15392;Q53HL2;Q96GD4	332;55143;9212	MI:0006- anti bait coimmunoprecipitation	GO:0000278;GO:0051225;GO:0007098;GO:0000775	mitotic cell cycle;spindle assembly;centrosome cycle;chromosome, centromeric region	10.03.01.01;10.03.05.01;70.10.04	mitotic cell cycle;spindle pole body/centrosome and microtubule cycle;centromere / kinetochore	15260989	Baculoviral IAP repeat-containing protein 5;Borealin ;Aurora kinase B	BIRC5;CDCA8;AURKB	API4, IAP4;PESCRG3;AIK2, AIM1, AIRK2, ARK2 STK1, STK12, STK5	None	None	The authors propose that Dasra B may act to regulate the stability of Survivin, which, together with Incenp, serves to target Aurora B to chromosomal arms and centromeres.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2583	CSK-GAP-A.p62 complex	Mouse	None	None	P41241;Q60749	12988;20218	MI:0019- coimmunoprecipitation; MI:0096- pull down	GO:0023052;GO:0005886;GO:0005856	signaling;plasma membrane;cytoskeleton	30.01;70.02;70.04	cellular signalling;eukaryotic plasma membrane / membrane attached;cytoskeleton	7544435	Tyrosine-protein kinase CSK ;KH domain-containing, RNA-binding, signal transduction-associated protein 1	Csk;Khdrbs1	;	None	The authors differentiate between GAP-A.p62 and Sam68, but there is no other corresponding entry than Swiss:Q60749 in SWISS-DB.	The interaction requires the SH2 domain of CSK.	Mus musculus (Mouse);Mus musculus (Mouse)
2584	c-Src-Muc1 complex	Mouse	None	None	P41241;Q02496	12988;17829	MI:0019- coimmunoprecipitation; MI:0663- confocal microscopy	GO:0023052;GO:0005886	signaling;plasma membrane	30.01;70.02	cellular signalling;eukaryotic plasma membrane / membrane attached	15897873	Tyrosine-protein kinase CSK ;Mucin-1	Csk;Muc1	;Muc-1	None	None	The authors use MMTV-PyV MT (MMTV-driven polyoma middle T-antigen transgenic mice)  as model to characterize the effect of Muc1 expression on c-Src signaling. Muc1 and c-Src colocalize in the MT tumors mainly at the apical membrane.	Mus musculus (Mouse);Mus musculus (Mouse)
2585	nKHC-KLC1-uKHC kinesin complex	Mouse	None	brain	O88447;P33175;Q61768	16593;16572;16573	MI:0019- coimmunoprecipitation	GO:0007018;GO:0050896;GO:0015630	microtubule-based movement;response to stimulus;microtubule cytoskeleton	20.09.14.01;36.25;70.04.05	tubulin dependent transport;animal specific systemic sensing and response;microtubule cytoskeleton	9624122	Kinesin light chain 1 ;Kinesin heavy chain isoform 5A;Kinesin-1 heavy chain	Klc1;Kif5a;Kif5b	Kns2;Kiaa4086 Kif5 Nkhc1;Khcs, Kns1	None	None	The authors demonstrate that neither KLC nor KHC form heterodimers in the native complex in brain and that there is no specificity in the interaction of the kinesin light chains with the kinesin heavy chains. Immunprecipitation done from brain lysate with KLC1 antibodies shows nKHC, uKHC and KLC1, but not KLC2.	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
2586	KLC2-nKHC-uKHC kinesin complex	Mouse	None	brain	O88448;P33175;Q61768	16594;16572;16573	MI:0019- coimmunoprecipitation	GO:0007018;GO:0050896;GO:0015630	microtubule-based movement;response to stimulus;microtubule cytoskeleton	20.09.14.01;36.25;70.04.05	tubulin dependent transport;animal specific systemic sensing and response;microtubule cytoskeleton	9624122	Kinesin light chain 2 ;Kinesin heavy chain isoform 5A;Kinesin-1 heavy chain	Klc2;Kif5a;Kif5b	;Kiaa4086 Kif5 Nkhc1;Khcs, Kns1	None	None	The authors demonstrate that neither KLC nor KHC form heterodimers in the native complex in brain and that there is no specificity in the interaction of the kinesin light chains with the kinesin heavy chains. Immunprecipitation done from brain lysate with KLC2 antibodies shows nKHC, uKHC and KLC2, but not KLC1.	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
2587	nKHC-KLC1-KLC2 kinesin complex	Mouse	None	brain	O88447;O88448;P33175	16593;16594;16572	MI:0019- coimmunoprecipitation	GO:0007018;GO:0050896;GO:0015630	microtubule-based movement;response to stimulus;microtubule cytoskeleton	20.09.14.01;36.25;70.04.05	tubulin dependent transport;animal specific systemic sensing and response;microtubule cytoskeleton	9624122	Kinesin light chain 1 ;Kinesin light chain 2 ;Kinesin heavy chain isoform 5A	Klc1;Klc2;Kif5a	Kns2;;Kiaa4086 Kif5 Nkhc1	None	None	Immunoprecipitation done from brain lysate with nKHC antibodies brings down both kinesin light chains.	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
2589	PGC-1-SRp40-SRp55-SRp75 complex	Human	None	None	Q08170;Q13243;Q13247;Q9UBK2	6429;6430;6431;10891	MI:0007- anti tag coimmunoprecipitation	GO:2001141;GO:0006355;GO:0000398;GO:0006397;GO:0003676;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;mRNA splicing, via spliceosome;mRNA processing;nucleic acid binding;nucleus	11.02.03.04;11.04.03;16.03;70.10	transcriptional control;mRNA processing (splicing, 5'-, 3'-end processing);nucleic acid binding;nucleus	10983978	Serine/arginine-rich splicing factor 4 ;Serine/arginine-rich splicing factor 5 ;Serine/arginine-rich splicing factor 6;Peroxisome proliferator-activated receptor gamma coactivator 1-alpha	SRSF4;SRSF5;SRSF6;PPARGC1A	SFRS4 SRP75;HRS SFRS5 SRP40;SFRS6 SRP55;LEM6 PGC1 PGC1A PPARGC1	None	None	PGC-1 is part of both the preinitiation and elongation Pol II complexes, and association with the elongation form of Pol II depends on the C-terminal domain of PGC-1.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2590	FOXO1-FHL2-SIRT1 complex	Human	None	None	Q12778;Q14192;Q96EB6	2308;2274;23411	MI:0019- coimmunoprecipitation	GO:0045892;GO:0006473;GO:0006476;GO:0005634	negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;nucleus	11.02.03.04.03;14.07.04;70.10	transcription repression;modification by acetylation, deacetylation;nucleus	15692560	Forkhead box protein O1 ;Four and a half LIM domains protein 2 ;NAD-dependent protein deacetylase sirtuin-1	FOXO1;FHL2;SIRT1	FKHR FOXO1A;DRAL SLIM3;SIR2L1	None	None	The authors came to the following results: 1. FHL2 colocalizes and interacts with FOXO1 in prostate cancer cells. 2. FHL2 inhibits the activation of an IRS-driven reporter gene by FOXO1 in the presence but not in the absence of SIRT1 activity. 3. SIRT1 binds FOXO1, decreases its acetylation, and inhibits its transcriptional activity. 4. FHL2 interacts with SIRT1 and promotes its interaction with FOXO1. They suggest a model  that FHL2 negates the transcriptional activity of FOXO1 by promoting its deacetylation by SIRT1.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2591	SIRT1-HNF4-alpha-PGC-1-alpha complex, in response to fasting	Mouse	None	liver	O70343;P49698;Q923E4	19017;15378;93759	MI:0006-anti bait coimmunoprecipitation	GO:0006111;GO:0006110;GO:2001141;GO:0006355;GO:0042594;GO:0042593;GO:0005634	regulation of gluconeogenesis;regulation of glycolytic process;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;response to starvation;glucose homeostasis;nucleus	02.01.03;11.02.03.04;32.01.11;34.01.04;70.10	regulation of glycolysis and gluconeogenesis;transcriptional control;nutrient starvation response;glucose homeostasis;nucleus	15744310	Peroxisome proliferator-activated receptor gamma coactivator 1-alpha;Hepatocyte nuclear factor 4-alpha;NAD-dependent protein deacetylase sirtuin-1	Ppargc1a;Hnf4a;Sirt1	Pgc1 Pgc1a Ppargc1;Hnf-4 Hnf4 Nr2a1 Tcf14;Sir2l1	None	None	Acetylation of PGC-1 alpha by SIRT1 decreases its ability to efficiently coactivate HNF4alpha. In general the results show that PGC-1 alpha and SIRT1 can function together to promote adaptation to nutrient deprivation by regulating the genetic programmes of gluconeogenesis and glycolysis. SIRT1 can act both positively and negatively to control gene expression as a cofactor for PGC-1 alpha.	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
2592	SIRT1 homotrimer complex	Human	None	None	Q96EB6	23411	MI:0071- molecular sieving	GO:0006473;GO:0006476;GO:0005634	protein acetylation;protein deacetylation;nucleus	14.07.04;70.10	modification by acetylation, deacetylation;nucleus	15469825	NAD-dependent protein deacetylase sirtuin-1	SIRT1	SIR2L1	None	None	SirT1 exists as a trimer and interacts with histone H1.	Homo sapiens (Human)
2593	FOXO3-SIRT1 complex, oxidative stress stimulated	Human	None	None	O43524;Q96EB6	2309;23411	MI:0006- anti bait coimmunoprecipitation; MI:0007- anti tag coimmunoprecipitation	GO:2001141;GO:0006355;GO:0000302;GO:0006979;GO:0043066;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;response to reactive oxygen species;response to oxidative stress;negative regulation of apoptotic process;nucleus	11.02.03.04;32.01.01;40.10.02.01;70.10	transcriptional control;oxidative stress response;anti-apoptosis;nucleus	14976264	Forkhead box protein O3;NAD-dependent protein deacetylase sirtuin-1	FOXO3;SIRT1	FKHRL1, FOXO3A;SIR2L1	None	None	SIRT1 and  transcription factor FOXO3 formed a complex in cells in response to oxidative stress, and SIRT1 deacetylated FOXO3 in vitro and within cells. SIRT1 increased FOXO3's ability to induce cell cycle arrest and resistance to oxidative stress but inhibited FOXO3's ability to induce cell death.	Homo sapiens (Human);Homo sapiens (Human)
2598	NELF complex (Negative elongation factor complex)	Human	None	None	P18615;Q8IXH7;Q8WX92;Q9H3P2	7936;51497;25920;7469	MI:0007- anti tag coimmunoprecipitation	GO:0006354;GO:0045892;GO:0005515;GO:0003723;GO:0051098;GO:0051090;GO:0005634	DNA-templated transcription, elongation;negative regulation of transcription, DNA-templated;protein binding;RNA binding;regulation of binding;regulation of sequence-specific DNA binding transcription factor activity;nucleus	11.02.03.01.04;11.02.03.04.03;16.01;16.03.03;18.01.07;18.02.09;70.10	transcription elongation;transcription repression;protein binding;RNA binding;regulation by binding / dissociation;regulator of transcription factor;nucleus	12612062	Negative elongation factor E ;Negative elongation factor C/D ;Negative elongation factor B ;Negative elongation factor A	NELFE;NELFCD;NELFB;NELFA	RD RDBP;NELFD TH1 TH1L;COBRA1 KIAA1182;WHSC2	None	None	NELF cooperates with DSIF and represses DRB-sensitive RNA-Polymerase II.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2599	POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2 complex	Human	None	None	O60563;P19338;P24928;P50750;Q9P2I0;Q9UBK2	904;4691;5430;1025;53981;10891	MI:0007- anti tag coimmunoprecipitation	GO:2001141;GO:0006355;GO:0000398;GO:0006397;GO:0006468;GO:0006470;GO:0046777;GO:0003676;GO:0006464;GO:0050789;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;mRNA splicing, via spliceosome;mRNA processing;protein phosphorylation;protein dephosphorylation;protein autophosphorylation;nucleic acid binding;cellular protein modification process;regulation of biological process;nucleus	11.02.03.04;11.04.03;14.07.03;16.03;14.07;18;70.10	transcriptional control;mRNA processing (splicing, 5'-, 3'-end processing);modification by phosphorylation, dephosphorylation, autophosphorylation;nucleic acid binding;protein modification;REGULATION OF METABOLISM AND PROTEIN FUNCTION;nucleus	10983978	Cyclin-T1;Nucleolin ;DNA-directed RNA polymerase II subunit RPB1;Cyclin-dependent kinase 9;Cleavage and polyadenylation specificity factor subunit 2 ;Peroxisome proliferator-activated receptor gamma coactivator 1-alpha	CCNT1;NCL;POLR2A;CDK9;CPSF2;PPARGC1A	None;;POLR2;CDC2L4, TAK;CPSF100 KIAA1367;LEM6 PGC1 PGC1A PPARGC1	None	None	The authors demonstrate that PGC-1 is part of both the preinitiation and elongation Pol II complexes, and association with the elongation form of Pol II depends on the C-terminal domain of PGC-1.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2600	BRD4 complex	Human	None	None	O60244;O60563;O60885;O75448;P50750;Q15648;Q93074;Q9NVC6	9282;904;23476;9862;1025;5469;9968;9440	MI:0676- tandem affinity purification	GO:0006794;GO:0006796;GO:0006354;GO:0045893;GO:0006464;GO:0043085;GO:0008047;GO:0005634	phosphorus utilization;phosphate-containing compound metabolic process;DNA-templated transcription, elongation;positive regulation of transcription, DNA-templated;cellular protein modification process;positive regulation of catalytic activity;enzyme activator activity;nucleus	01.04;11.02.03.01.04;11.02.03.04.01;14.07;18.02.01.01;70.10	phosphate metabolism;transcription elongation;transcription activation;protein modification;enzyme activator;nucleus	16109376	Mediator of RNA polymerase II transcription subunit 14;Cyclin-T1;Bromodomain-containing protein 4 ;Mediator of RNA polymerase II transcription subunit 24;Cyclin-dependent kinase 9;Mediator of RNA polymerase II transcription subunit 1;Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 17	MED14;CCNT1;BRD4;MED24;CDK9;MED1;MED12;MED17	ARC150 CRSP2 CXorf4 DRIP150 EXLM1 RGR1 TRAP170;None;HUNK1;ARC100 CRSP4 DRIP100 KIAA0130 THRAP4 TRAP100;CDC2L4, TAK;ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A TRAP220 TRIP2;ARC240 CAGH45 HOPA KIAA0192 TNRC11 TRAP230;ARC77 CRSP6 DRIP77 DRIP80 TRAP80	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2601	P-TEFb-BRD4-TRAP220 complex	Human	None	None	O60563;O60885;P50750;Q15648	904;23476;1025;5469	MI:0007- anti tag coimmunoprecipitation	GO:0006794;GO:0006796;GO:0006354;GO:0045893;GO:0006464;GO:0043085;GO:0008047;GO:0005634	phosphorus utilization;phosphate-containing compound metabolic process;DNA-templated transcription, elongation;positive regulation of transcription, DNA-templated;cellular protein modification process;positive regulation of catalytic activity;enzyme activator activity;nucleus	01.04;11.02.03.01.04;11.02.03.04.01;14.07;18.02.01.01;70.10	phosphate metabolism;transcription elongation;transcription activation;protein modification;enzyme activator;nucleus	16109377	Cyclin-T1;Bromodomain-containing protein 4 ;Cyclin-dependent kinase 9;Mediator of RNA polymerase II transcription subunit 1	CCNT1;BRD4;CDK9;MED1	None;HUNK1;CDC2L4, TAK;ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A TRAP220 TRIP2	None	None	Brd4 is necessary to mediate the interaction between P-TEFb and Mediator complex.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2602	P-TEFb-7SKRNA-HEXIM1 complex	Human	None	None	O60563;O94992;P50750	904;10614;1025	MI:0007- anti tag coimmunoprecipitation	GO:0006794;GO:0006796;GO:0006354;GO:2001141;GO:0006355;GO:0006464;GO:0030234;GO:0050790;GO:0005634	phosphorus utilization;phosphate-containing compound metabolic process;DNA-templated transcription, elongation;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;cellular protein modification process;enzyme regulator activity;regulation of catalytic activity;nucleus	01.04;11.02.03.01.04;11.02.03.04;14.07;18.02.01;70.10	phosphate metabolism;transcription elongation;transcriptional control;protein modification;enzymatic activity regulation / enzyme regulator;nucleus	14580347	Cyclin-T1;Protein HEXIM1 ;Cyclin-dependent kinase 9	CCNT1;HEXIM1;CDK9	None;CLP1 EDG1 HIS1 MAQ1;CDC2L4, TAK	None	None	7SK RNA is required for HEXIM1 to associate with P-TEFb complex. This allowes HEXIM1 to inhibit transcription. P-TEFb dissociates from HEXIM1 and 7SK in cells undergoing stress response, increasing the level of active P-TEFb for stress-induced transcription.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2603	Transcription elongation factor complex (SUPT5H, CDK9, CCNT1)	Human	None	None	O00267;O60563;P50750	6829;904;1025	MI:0047- far western blotting	GO:0006794;GO:0006796;GO:0006354;GO:0045893;GO:0006464;GO:0043085;GO:0008047;GO:0005634	phosphorus utilization;phosphate-containing compound metabolic process;DNA-templated transcription, elongation;positive regulation of transcription, DNA-templated;cellular protein modification process;positive regulation of catalytic activity;enzyme activator activity;nucleus	01.04;11.02.03.01.04;11.02.03.04.01;14.07;18.02.01.01;70.10	phosphate metabolism;transcription elongation;transcription activation;protein modification;enzyme activator;nucleus	11145967	Transcription elongation factor SPT5 ;Cyclin-T1;Cyclin-dependent kinase 9	SUPT5H;CCNT1;CDK9	SPT5 SPT5H;None;CDC2L4, TAK	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2604	P-TEFb-SKP2 complex	Human	None	None	O60563;P50750;Q13309	904;1025;6502	MI:0019- coimmunoprecipitation	GO:0006354;GO:2001141;GO:0006355;GO:0043161;GO:0006511;GO:0006464;GO:0043085;GO:0008047;GO:0005634	DNA-templated transcription, elongation;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cellular protein modification process;positive regulation of catalytic activity;enzyme activator activity;nucleus	11.02.03.01.04;11.02.03.04;14.13.01.01;14.07;18.02.01.01;70.10	transcription elongation;transcriptional control;proteasomal degradation (ubiquitin/proteasomal pathway);protein modification;enzyme activator;nucleus	11689688	Cyclin-T1;Cyclin-dependent kinase 9;S-phase kinase-associated protein 2	CCNT1;CDK9;SKP2	None;CDC2L4, TAK;FBXL1	None	None	Binding of SKP2 to P-TEFb requires PEST domain of cyclin T1. CDK9 is ubiquitinated and degraded by the proteasome whereas cyclin T1 is stable.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2605	Heterotrimeric complex (CCNT1, CDK9, GRN)	Human	None	None	O60563;P28799;P50750	904;2896;1025	MI:0019- coimmunoprecipitation	GO:0045892	negative regulation of transcription, DNA-templated	11.02.03.04.03	transcription repression	12588988	Cyclin-T1;Granulins ;Cyclin-dependent kinase 9	CCNT1;GRN;CDK9	None;;CDC2L4, TAK	None	None	Granulin is a cellular protein that interacts with cyclin T1 to inhibit transcription.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2608	Brd4-P-TEFb complex	Mouse	None	None	Q99J95;Q9ESU6;Q9QWV9	107951;57261;12455	MI:0809- bimolecular fluorescence complementation; MI:0006- anti bait coimmunoprecipitation	GO:0006794;GO:0006796;GO:0006354;GO:0045893;GO:0006464;GO:0043085;GO:0008047;GO:0005634	phosphorus utilization;phosphate-containing compound metabolic process;DNA-templated transcription, elongation;positive regulation of transcription, DNA-templated;cellular protein modification process;positive regulation of catalytic activity;enzyme activator activity;nucleus	01.04;11.02.03.01.04;11.02.03.04.01;14.07;18.02.01.01;70.10	phosphate metabolism;transcription elongation;transcription activation;protein modification;enzyme activator;nucleus	16109376	Cyclin-dependent kinase 9 ;Bromodomain-containing protein 4 ;Cyclin-T1	Cdk9;Brd4;Ccnt1	;Mcap;	None	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
2618	TUBA1A-TUBB2A complex	Bovine	None	None	P02550;Q148E2	None;281555	MI:0040- electron microscopy	GO:0000226	microtubule cytoskeleton organization	42.04.05	microtubule cytoskeleton	9428769	Tubulin alpha-1A chain ;Tubulin beta chain	TUBA1A;TUBB2A	;	None	None	None	Sus scrofa (Pig);Bos taurus (Bovine)
2625	CDK8-MED6-PARP1 complex	Human	None	None	O75586;P09874;P49336	10001;142;1024	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated	11.02.03.04	transcriptional control	15808511	Mediator of RNA polymerase II transcription subunit 6 ;Poly [ADP-ribose] polymerase 1;Cyclin-dependent kinase 8	MED6;PARP1;CDK8	ARC33;ADPRT PPOL;None	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2626	CCNC-CDK8-MED1-MED6-MED7 xcomplex	Human	None	None	O43513;O75586;P24863;P49336;Q15648	9443;10001;892;1024;5469	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated	11.02.03.04	transcriptional control	15808511	Mediator of RNA polymerase II transcription subunit 7 ;Mediator of RNA polymerase II transcription subunit 6 ;Cyclin-C;Cyclin-dependent kinase 8;Mediator of RNA polymerase II transcription subunit 1	MED7;MED6;CCNC;CDK8;MED1	ARC34 CRSP9;ARC33;None;None;ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A TRAP220 TRIP2	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2628	CCNC-CDK3 complex	Human	None	None	P24863;Q00526	892;1018	MI:0019- coimmunoprecipitation	GO:0007049	cell cycle	10.03	cell cycle	15084261	Cyclin-C;Cyclin-dependent kinase 3	CCNC;CDK3	None;CDKN3	None	None	A non-cdk8-associated cellular pool of cyclin C combines with cdk3 to stimulate pRb phosphorylation at S807/811 during the G0/G1 transition, and that this phosphorylation is required for cells to exit G0 efficiently.	Homo sapiens (Human);Homo sapiens (Human)
2635	BETA2-Cyclin D1 complex	Human	None	None	P24385;Q13562	595;4760	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated	11.02.03.04	transcriptional control	11788592	G1/S-specific cyclin-D1;Neurogenic differentiation factor 1	CCND1;NEUROD1	BCL1 PRAD1;BHLHA3 NEUROD	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
2638	HES1 promoter corepressor complex	Human	None	None	P24928;P50613;Q06330;Q09472;Q7KZ85;Q92793	5430;1022;3516;2033;6830;1387	MI:0402- chromatin immunoprecipitation assays	GO:0045892;GO:0003677;GO:0005634	negative regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04.03;16.03.01;70.10	transcription repression;DNA binding;nucleus	15546612	DNA-directed RNA polymerase II subunit RPB1;Cyclin-dependent kinase 7 ;Recombining binding protein suppressor of hairless ;Histone acetyltransferase p300;Transcription elongation factor SPT6 ;CREB-binding protein	POLR2A;CDK7;RBPJ;EP300;SUPT6H;CREBBP	POLR2;CAK CAK1 CDKN7 MO15 STK1;IGKJRB IGKJRB1 RBPJK RBPSUH;P300;KIAA0162 SPT6H;CBP	None	None	This complex has been studied on the HES1 promoter (a Notch target gene) in cells without Notch signaling.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
2639	HES1 promoter-Notch enhancer complex	Human	None	None	O60563;P24928;P46531;P49336;P50613;P50750;Q06330;Q09472;Q15648;Q7KZ85;Q92585;Q9BT40;Q9Y5B9	904;5430;4851;1024;1022;1025;3516;2033;5469;6830;9794;51763;11198	MI:0402- chromatin immunoprecipitation assays	GO:0045893;GO:0003677;GO:0007219;GO:0005634	positive regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus	11.02.03.04.01;16.03.01;30.05.02.14;70.10	transcription activation;DNA binding;Notch-receptor signalling pathway;nucleus	15546612	Cyclin-T1;DNA-directed RNA polymerase II subunit RPB1;Neurogenic locus notch homolog protein 1 ;Cyclin-dependent kinase 8;Cyclin-dependent kinase 7 ;Cyclin-dependent kinase 9;Recombining binding protein suppressor of hairless ;Histone acetyltransferase p300;Mediator of RNA polymerase II transcription subunit 1;Transcription elongation factor SPT6 ;Mastermind-like protein 1 ;Inositol polyphosphate 5-phosphatase K ;FACT complex subunit SPT16	CCNT1;POLR2A;NOTCH1;CDK8;CDK7;CDK9;RBPJ;EP300;MED1;SUPT6H;MAML1;INPP5K;SUPT16H	None;POLR2;TAN1;None;CAK CAK1 CDKN7 MO15 STK1;CDC2L4, TAK;IGKJRB IGKJRB1 RBPJK RBPSUH;P300;ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A TRAP220 TRIP2;KIAA0162 SPT6H;KIAA0200;PPS SKIP;FACT140 FACTP140	None	None	After Notch signaling endogenous CDK8 is recruited to the HES1 promoter (a Notch target gene) together with Notch and MAM. Signaling also induces binding of SKIP, as well as two transcription elongation factors, P-TEFb and FACT.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
